month,NO2
2013-01-01,54.29032258064516
2013-02-01,45.41935483870968
2013-03-01,40.516129032258064
2013-04-01,34.83870967741935
2013-05-01,35.096774193548384
2013-06-01,30.516129032258064
2013-07-01,36.45161290322581
2013-08-01,27.677419354838708
2013-09-01,40.193548387096776
2013-10-01,50.29032258064516
2013-11-01,45.16129032258065
2013-12-01,59.87096774193548
2014-01-01,49.483870967741936
2014-02-01,42.903225806451616
2014-03-01,46.064516129032256
2014-04-01,38.096774193548384
2014-05-01,32.87096774193548
2014-06-01,32.193548387096776
2014-07-01,33.74193548387097
2014-08-01,29.322580645161292
2014-09-01,38.12903225806452
2014-10-01,51.516129032258064
2014-11-01,53.096774193548384
2014-12-01,70.45161290322581
2015-01-01,78.90322580645162
2015-02-01,41.354838709677416
2015-03-01,47.12903225806452
2015-04-01,27.774193548387096
2015-05-01,28.70967741935484
2015-06-01,32.03225806451613
2015-07-01,38.74193548387097
2015-08-01,28.677419354838708
2015-09-01,43.645161290322584
2015-10-01,51.16129032258065
2015-11-01,64.45161290322581
2015-12-01,64.12903225806451
2016-01-01,48.32258064516129
2016-02-01,39.0
2016-03-01,42.645161290322584
2016-04-01,38.61290322580645
2016-05-01,37.83870967741935
2016-06-01,37.064516129032256
2016-07-01,36.67741935483871
2016-08-01,30.612903225806452
2016-09-01,45.774193548387096
2016-10-01,50.70967741935484
2016-11-01,49.74193548387097
2016-12-01,56.193548387096776
2017-01-01,55.193548387096776
2017-02-01,39.774193548387096
2017-03-01,41.516129032258064
2017-04-01,28.93548387096774
2017-05-01,34.03225806451613
2017-06-01,35.38709677419355
2017-07-01,36.61290322580645
2017-08-01,27.774193548387096
2017-09-01,23.93548387096774
2017-10-01,48.61290322580645
2017-11-01,57.29032258064516
2017-12-01,54.03225806451613
2018-01-01,50.29032258064516
2018-02-01,46.96774193548387
2018-03-01,39.354838709677416
2018-04-01,34.774193548387096
2018-05-01,31.93548387096774
2018-06-01,27.516129032258064
2018-07-01,32.03225806451613
2018-08-01,25.967741935483872
2018-09-01,33.806451612903224
2018-10-01,40.45161290322581
2018-11-01,44.45161290322581
2018-12-01,59.87096774193548
2019-01-01,57.74193548387097
2019-02-01,50.774193548387096
2019-03-01,36.74193548387097
2019-04-01,31.419354838709676
2019-05-01,24.0
2019-06-01,29.258064516129032
2019-07-01,28.967741935483872
2019-08-01,26.258064516129032
2019-09-01,31.193548387096776
2019-10-01,44.70967741935484
2019-11-01,30.741935483870968
2019-12-01,41.70967741935484
2020-01-01,47.54838709677419
2020-02-01,43.32258064516129
2020-03-01,22.225806451612904
2020-04-01,10.193548387096774
2020-05-01,10.838709677419354
2020-06-01,16.93548387096774
2020-07-01,19.548387096774192
2020-08-01,20.258064516129032
2020-09-01,27.129032258064516
2020-10-01,33.483870967741936
2020-11-01,41.483870967741936
2020-12-01,36.645161290322584
2021-01-01,49.0
2021-02-01,31.483870967741936
2021-03-01,30.387096774193548
2021-04-01,26.225806451612904
2021-05-01,24.870967741935484
2021-06-01,24.548387096774192
2021-07-01,28.612903225806452
2021-08-01,25.225806451612904
2021-09-01,30.838709677419356
2021-10-01,39.483870967741936
2021-11-01,38.0
2021-12-01,41.58064516129032
2022-01-01,45.32258064516129
2022-02-01,40.74193548387097
2022-03-01,31.225806451612904
2022-04-01,28.483870967741936
2022-05-01,27.612903225806452
2022-06-01,31.93548387096774
2022-07-01,27.483870967741936
2022-08-01,21.903225806451612
2022-09-01,21.193548387096776
2022-10-01,35.645161290322584
2022-11-01,33.516129032258064
2022-12-01,39.064516129032256
2023-01-01,36.096774193548384
2023-02-01,33.0
2023-03-01,34.61290322580645
2023-04-01,23.93548387096774
2023-05-01,17.806451612903224
2023-06-01,23.0
2023-07-01,24.483870967741936
2023-08-01,20.06451612903226
2023-09-01,30.06451612903226
2023-10-01,34.16129032258065
