month,NO2
2013-01-01,43.25806451612903
2013-02-01,32.354838709677416
2013-03-01,26.612903225806452
2013-04-01,22.322580645161292
2013-05-01,21.870967741935484
2013-06-01,18.903225806451612
2013-07-01,24.580645161290324
2013-08-01,24.0
2013-09-01,31.967741935483872
2013-10-01,38.87096774193548
2013-11-01,33.25806451612903
2013-12-01,52.12903225806452
2014-01-01,35.806451612903224
2014-02-01,30.93548387096774
2014-03-01,34.225806451612904
2014-04-01,27.193548387096776
2014-05-01,21.548387096774192
2014-06-01,20.516129032258064
2014-07-01,22.838709677419356
2014-08-01,23.387096774193548
2014-09-01,30.774193548387096
2014-10-01,35.483870967741936
2014-11-01,35.354838709677416
2014-12-01,47.96774193548387
2015-01-01,54.064516129032256
2015-02-01,28.64516129032258
2015-03-01,36.903225806451616
2015-04-01,24.451612903225808
2015-05-01,21.70967741935484
2015-06-01,20.451612903225808
2015-07-01,22.612903225806452
2015-08-01,22.483870967741936
2015-09-01,32.774193548387096
2015-10-01,37.096774193548384
2015-11-01,41.67741935483871
2015-12-01,59.70967741935484
2016-01-01,42.67741935483871
2016-02-01,31.64516129032258
2016-03-01,36.41935483870968
2016-04-01,30.35483870967742
2016-05-01,28.838709677419356
2016-06-01,27.193548387096776
2016-07-01,28.387096774193548
2016-08-01,30.548387096774192
2016-09-01,40.83870967741935
2016-10-01,48.29032258064516
2016-11-01,43.83870967741935
2016-12-01,51.38709677419355
2017-01-01,51.096774193548384
2017-02-01,36.483870967741936
2017-03-01,40.74193548387097
2017-04-01,27.612903225806452
2017-05-01,28.774193548387096
2017-06-01,27.258064516129032
2017-07-01,31.580645161290324
2017-08-01,28.548387096774192
2017-09-01,37.54838709677419
2017-10-01,51.87096774193548
2017-11-01,56.96774193548387
2017-12-01,53.29032258064516
2018-01-01,49.67741935483871
2018-02-01,40.0
2018-03-01,28.225806451612904
2018-04-01,29.580645161290324
2018-05-01,27.387096774193548
2018-06-01,24.774193548387096
2018-07-01,30.0
2018-08-01,32.54838709677419
2018-09-01,36.45161290322581
2018-10-01,38.096774193548384
2018-11-01,38.25806451612903
2018-12-01,54.58064516129032
2019-01-01,47.58064516129032
2019-02-01,43.54838709677419
2019-03-01,35.70967741935484
2019-04-01,26.677419354838708
2019-05-01,22.903225806451612
2019-06-01,25.387096774193548
2019-07-01,27.032258064516128
2019-08-01,31.677419354838708
2019-09-01,34.806451612903224
2019-10-01,49.0
2019-11-01,29.161290322580644
2019-12-01,45.774193548387096
2020-01-01,51.096774193548384
2020-02-01,46.16129032258065
2020-03-01,23.967741935483872
2020-04-01,11.96774193548387
2020-05-01,13.419354838709678
2020-06-01,13.935483870967742
2020-07-01,18.516129032258064
2020-08-01,25.387096774193548
2020-09-01,25.774193548387096
2020-10-01,26.93548387096774
2020-11-01,35.193548387096776
2020-12-01,28.096774193548388
2021-01-01,42.70967741935484
2021-02-01,26.580645161290324
2021-03-01,26.06451612903226
2021-04-01,20.903225806451612
2021-05-01,17.806451612903224
2021-06-01,17.774193548387096
2021-07-01,23.032258064516128
2021-08-01,25.612903225806452
2021-09-01,28.129032258064516
2021-10-01,38.12903225806452
2021-11-01,33.67741935483871
2021-12-01,38.58064516129032
2022-01-01,42.354838709677416
2022-02-01,36.45161290322581
2022-03-01,23.548387096774192
2022-04-01,21.838709677419356
2022-05-01,22.548387096774192
2022-06-01,20.483870967741936
2022-07-01,25.032258064516128
2022-08-01,25.741935483870968
2022-09-01,25.741935483870968
2022-10-01,41.25806451612903
2022-11-01,32.32258064516129
2022-12-01,36.903225806451616
