month,NO2
2013-01-01,39.70967741935484
2013-02-01,31.774193548387096
2013-03-01,25.322580645161292
2013-04-01,23.0
2013-05-01,24.451612903225808
2013-06-01,22.322580645161292
2013-07-01,25.838709677419356
2013-08-01,21.774193548387096
2013-09-01,30.903225806451612
2013-10-01,39.38709677419355
2013-11-01,38.38709677419355
2013-12-01,56.774193548387096
2014-01-01,40.12903225806452
2014-02-01,33.58064516129032
2014-03-01,39.38709677419355
2014-04-01,25.93548387096774
2014-05-01,21.032258064516128
2014-06-01,21.903225806451612
2014-07-01,26.161290322580644
2014-08-01,23.193548387096776
2014-09-01,33.935483870967744
2014-10-01,41.096774193548384
2014-11-01,40.96774193548387
2014-12-01,61.774193548387096
2015-01-01,66.29032258064517
2015-02-01,33.225806451612904
2015-03-01,41.903225806451616
2015-04-01,31.387096774193548
2015-05-01,27.870967741935484
2015-06-01,30.35483870967742
2015-07-01,34.645161290322584
2015-08-01,25.258064516129032
2015-09-01,34.483870967741936
2015-10-01,40.54838709677419
2015-11-01,53.483870967741936
2015-12-01,64.03225806451613
2016-01-01,44.03225806451613
2016-02-01,34.87096774193548
2016-03-01,37.483870967741936
2016-04-01,31.06451612903226
2016-05-01,31.35483870967742
2016-06-01,29.806451612903224
2016-07-01,29.419354838709676
2016-08-01,27.806451612903224
2016-09-01,42.32258064516129
2016-10-01,46.70967741935484
2016-11-01,47.096774193548384
2016-12-01,19.193548387096776
2017-01-01,54.225806451612904
2017-02-01,39.87096774193548
2017-03-01,43.03225806451613
2017-04-01,29.193548387096776
2017-05-01,31.516129032258064
2017-06-01,30.870967741935484
2017-07-01,33.25806451612903
2017-08-01,33.45161290322581
2017-09-01,44.54838709677419
2017-10-01,51.74193548387097
2017-11-01,60.483870967741936
2017-12-01,56.45161290322581
2018-01-01,53.16129032258065
2018-02-01,42.096774193548384
2018-03-01,31.35483870967742
2018-04-01,32.516129032258064
2018-05-01,31.387096774193548
2018-06-01,27.258064516129032
2018-07-01,30.032258064516128
2018-08-01,30.483870967741936
2018-09-01,37.903225806451616
2018-10-01,40.29032258064516
2018-11-01,41.903225806451616
2018-12-01,59.03225806451613
2019-01-01,58.87096774193548
2019-02-01,53.0
2019-03-01,37.645161290322584
2019-04-01,28.387096774193548
2019-05-01,21.35483870967742
2019-06-01,24.0
2019-07-01,25.677419354838708
2019-08-01,25.93548387096774
2019-09-01,30.483870967741936
2019-10-01,43.83870967741935
2019-11-01,31.258064516129032
2019-12-01,43.354838709677416
2020-01-01,49.87096774193548
2020-02-01,46.645161290322584
2020-03-01,25.838709677419356
2020-04-01,13.483870967741936
2020-05-01,14.096774193548388
2020-06-01,17.129032258064516
2020-07-01,20.387096774193548
2020-08-01,23.838709677419356
2020-09-01,28.580645161290324
2020-10-01,31.161290322580644
2020-11-01,41.96774193548387
2020-12-01,33.70967741935484
2021-01-01,47.58064516129032
2021-02-01,29.838709677419356
2021-03-01,30.29032258064516
2021-04-01,24.387096774193548
2021-05-01,20.161290322580644
2021-06-01,20.741935483870968
2021-07-01,21.483870967741936
2021-08-01,22.387096774193548
2021-09-01,28.70967741935484
2021-10-01,40.70967741935484
2021-11-01,38.0
2021-12-01,42.064516129032256
2022-01-01,47.32258064516129
2022-02-01,40.41935483870968
2022-03-01,27.806451612903224
2022-04-01,21.580645161290324
2022-05-01,20.774193548387096
2022-06-01,20.096774193548388
2022-07-01,21.838709677419356
2022-08-01,18.870967741935484
2022-09-01,12.903225806451612
2022-10-01,32.645161290322584
2022-11-01,30.64516129032258
2022-12-01,33.806451612903224
