month,NO2
2013-01-01,43.03225806451613
2013-02-01,32.74193548387097
2013-03-01,26.161290322580644
2013-04-01,24.419354838709676
2013-05-01,25.0
2013-06-01,21.225806451612904
2013-07-01,24.806451612903224
2013-08-01,24.387096774193548
2013-09-01,35.87096774193548
2013-10-01,39.193548387096776
2013-11-01,38.0
2013-12-01,58.74193548387097
2014-01-01,35.096774193548384
2014-02-01,29.193548387096776
2014-03-01,37.96774193548387
2014-04-01,27.451612903225808
2014-05-01,23.64516129032258
2014-06-01,22.612903225806452
2014-07-01,23.161290322580644
2014-08-01,18.806451612903224
2014-09-01,28.806451612903224
2014-10-01,41.87096774193548
2014-11-01,37.83870967741935
2014-12-01,60.70967741935484
2015-01-01,63.29032258064516
2015-02-01,29.70967741935484
2015-03-01,38.32258064516129
2015-04-01,25.225806451612904
2015-05-01,26.548387096774192
2015-06-01,27.129032258064516
2015-07-01,31.322580645161292
2015-08-01,26.64516129032258
2015-09-01,34.903225806451616
2015-10-01,42.935483870967744
2015-11-01,56.25806451612903
2015-12-01,70.0
2016-01-01,42.41935483870968
2016-02-01,33.58064516129032
2016-03-01,36.70967741935484
2016-04-01,31.032258064516128
2016-05-01,30.93548387096774
2016-06-01,27.35483870967742
2016-07-01,28.419354838709676
2016-08-01,28.516129032258064
2016-09-01,42.58064516129032
2016-10-01,51.774193548387096
2016-11-01,34.29032258064516
2016-12-01,46.41935483870968
2017-01-01,56.16129032258065
2017-02-01,40.096774193548384
2017-03-01,41.0
2017-04-01,30.806451612903224
2017-05-01,30.387096774193548
2017-06-01,28.322580645161292
2017-07-01,31.548387096774192
2017-08-01,27.419354838709676
2017-09-01,39.096774193548384
2017-10-01,54.74193548387097
2017-11-01,60.96774193548387
2017-12-01,53.41935483870968
2018-01-01,47.41935483870968
2018-02-01,41.096774193548384
2018-03-01,24.838709677419356
2018-04-01,25.032258064516128
2018-05-01,25.64516129032258
2018-06-01,19.870967741935484
2018-07-01,22.451612903225808
2018-08-01,26.548387096774192
2018-09-01,32.54838709677419
2018-10-01,38.38709677419355
2018-11-01,36.74193548387097
2018-12-01,52.61290322580645
2019-01-01,55.16129032258065
2019-02-01,49.516129032258064
2019-03-01,35.645161290322584
2019-04-01,23.516129032258064
2019-05-01,19.967741935483872
2019-06-01,20.35483870967742
2019-07-01,22.322580645161292
2019-08-01,23.419354838709676
2019-09-01,25.0
2019-10-01,41.225806451612904
2019-11-01,24.580645161290324
2019-12-01,39.193548387096776
2020-01-01,47.03225806451613
2020-02-01,42.354838709677416
2020-03-01,22.129032258064516
2020-04-01,12.290322580645162
2020-05-01,13.580645161290322
2020-06-01,15.451612903225806
2020-07-01,20.29032258064516
2020-08-01,22.806451612903224
2020-09-01,27.70967741935484
2020-10-01,29.580645161290324
2020-11-01,39.483870967741936
2020-12-01,29.903225806451612
2021-01-01,41.774193548387096
2021-02-01,26.225806451612904
2021-03-01,28.548387096774192
2021-04-01,20.225806451612904
2021-05-01,16.35483870967742
2021-06-01,16.70967741935484
2021-07-01,19.096774193548388
2021-08-01,19.161290322580644
2021-09-01,26.387096774193548
2021-10-01,38.225806451612904
2021-11-01,37.806451612903224
2021-12-01,38.096774193548384
2022-01-01,48.935483870967744
2022-02-01,39.096774193548384
2022-03-01,26.193548387096776
2022-04-01,19.774193548387096
2022-05-01,21.0
2022-06-01,16.93548387096774
2022-07-01,20.516129032258064
2022-08-01,17.64516129032258
2022-09-01,20.419354838709676
2022-10-01,37.645161290322584
2022-11-01,28.193548387096776
2022-12-01,33.903225806451616
