month,NO2
2013-01-01,47.58064516129032
2013-02-01,36.483870967741936
2013-03-01,31.774193548387096
2013-04-01,28.129032258064516
2013-05-01,26.93548387096774
2013-06-01,24.193548387096776
2013-07-01,32.16129032258065
2013-08-01,29.032258064516128
2013-09-01,39.03225806451613
2013-10-01,45.774193548387096
2013-11-01,38.806451612903224
2013-12-01,60.32258064516129
2014-01-01,41.25806451612903
2014-02-01,35.32258064516129
2014-03-01,39.774193548387096
2014-04-01,20.580645161290324
2014-05-01,16.580645161290324
2014-06-01,26.967741935483872
2014-07-01,27.967741935483872
2014-08-01,29.322580645161292
2014-09-01,38.61290322580645
2014-10-01,51.0
2014-11-01,45.645161290322584
2014-12-01,61.74193548387097
2015-01-01,69.3225806451613
2015-02-01,37.67741935483871
2015-03-01,48.32258064516129
2015-04-01,35.0
2015-05-01,32.16129032258065
2015-06-01,33.16129032258065
2015-07-01,35.61290322580645
2015-08-01,31.741935483870968
2015-09-01,40.12903225806452
2015-10-01,46.58064516129032
2015-11-01,61.58064516129032
2015-12-01,67.2258064516129
2016-01-01,49.064516129032256
2016-02-01,37.064516129032256
2016-03-01,41.12903225806452
2016-04-01,35.03225806451613
2016-05-01,33.935483870967744
2016-06-01,31.0
2016-07-01,33.064516129032256
2016-08-01,34.74193548387097
2016-09-01,45.74193548387097
2016-10-01,52.70967741935484
2016-11-01,50.25806451612903
2016-12-01,57.32258064516129
2017-01-01,57.064516129032256
2017-02-01,45.193548387096776
2017-03-01,50.096774193548384
2017-04-01,35.74193548387097
2017-05-01,35.903225806451616
2017-06-01,32.87096774193548
2017-07-01,37.70967741935484
2017-08-01,33.38709677419355
2017-09-01,44.58064516129032
2017-10-01,57.935483870967744
2017-11-01,62.67741935483871
2017-12-01,59.516129032258064
2018-01-01,54.74193548387097
2018-02-01,45.193548387096776
2018-03-01,31.06451612903226
2018-04-01,34.38709677419355
2018-05-01,32.25806451612903
2018-06-01,29.06451612903226
2018-07-01,33.193548387096776
2018-08-01,35.483870967741936
2018-09-01,41.903225806451616
2018-10-01,41.67741935483871
2018-11-01,43.32258064516129
2018-12-01,62.29032258064516
2019-01-01,63.54838709677419
2019-02-01,55.774193548387096
2019-03-01,44.16129032258065
2019-04-01,30.225806451612904
2019-05-01,25.419354838709676
2019-06-01,25.774193548387096
2019-07-01,26.06451612903226
2019-08-01,28.225806451612904
2019-09-01,31.774193548387096
2019-10-01,45.0
2019-11-01,26.93548387096774
2019-12-01,44.064516129032256
2020-01-01,49.25806451612903
2020-02-01,44.45161290322581
2020-03-01,21.93548387096774
2020-04-01,9.709677419354838
2020-05-01,11.35483870967742
2020-06-01,12.741935483870968
2020-07-01,18.612903225806452
2020-08-01,25.193548387096776
2020-09-01,28.193548387096776
2020-10-01,30.580645161290324
2020-11-01,38.83870967741935
2020-12-01,31.258064516129032
2021-01-01,48.03225806451613
2021-02-01,31.806451612903224
2021-03-01,30.483870967741936
2021-04-01,23.35483870967742
2021-05-01,19.774193548387096
2021-06-01,18.903225806451612
2021-07-01,26.129032258064516
2021-08-01,28.129032258064516
2021-09-01,30.548387096774192
2021-10-01,41.225806451612904
2021-11-01,36.096774193548384
2021-12-01,42.096774193548384
2022-01-01,49.41935483870968
2022-02-01,40.29032258064516
2022-03-01,27.483870967741936
2022-04-01,22.806451612903224
2022-05-01,23.387096774193548
2022-06-01,20.967741935483872
2022-07-01,25.806451612903224
2022-08-01,24.129032258064516
2022-09-01,25.193548387096776
2022-10-01,41.16129032258065
2022-11-01,31.322580645161292
2022-12-01,38.806451612903224
2023-01-01,39.645161290322584
2023-02-01,42.96774193548387
2023-03-01,32.87096774193548
2023-04-01,24.225806451612904
2023-05-01,18.096774193548388
2023-06-01,22.967741935483872
2023-07-01,24.161290322580644
2023-08-01,22.774193548387096
2023-09-01,25.774193548387096
2023-10-01,28.806451612903224
