hex_id,avg
8a390ca0004ffff,25.709722222222222
8a390ca20b67fff,21.52638888888889
8a390ca2230ffff,22.60972222222222
8a390ca24d2ffff,24.77638888888889
8a390ca26487fff,15.341666666666667
8a390ca2652ffff,27.686111111111114
8a390ca3136ffff,23.975
8a390ca35467fff,24.875
8a390ca36ba7fff,29.716666666666665
8a390cb048a7fff,9.844444444444443
8a390cb09d27fff,17.955555555555556
8a390cb0ac4ffff,24.806944444444447
8a390cb0c0cffff,15.20138888888889
8a390cb0e52ffff,22.623611111111114
8a390cb190c7fff,22.95277777777778
8a390cb19d07fff,20.6375
8a390cb1b017fff,37.26944444444444
8a390cb1bd57fff,23.915277777777778
8a390cb5152ffff,28.345833333333335
8a390cb5299ffff,18.083333333333332
8a390cb53167fff,25.019444444444446
8a390cb8980ffff,30.92777777777778
8a390cba93affff,20.720833333333335
8a390cbada47fff,12.198611111111111
