LATITUD,LONGITUD,avg
40.4238823,-3.7122567,23.915277777777778
40.4215533,-3.6823158,27.686111111111114
40.4514734,-3.6773491,24.77638888888889
40.4400457,-3.6392422,21.52638888888889
40.347147,-3.7133167,30.92777777777778
40.3947825,-3.7318356,20.720833333333335
40.4193577,-3.7473445,12.198611111111111
40.4769179,-3.5800258,28.345833333333335
40.4192091,-3.7031662,37.26944444444444
40.4079517,-3.6453104,22.60972222222222
40.4455439,-3.7071303,20.6375
40.4782322,-3.7115364,22.623611111111114
40.3881478,-3.6515286,23.975
40.3980991,-3.6868138,24.875
40.4398904,-3.6903729,22.95277777777778
40.4144444,-3.6824999,15.341666666666667
40.4655841,-3.6887449,24.806944444444447
40.3730118,-3.6121394,25.709722222222222
40.4623628,-3.5805649,25.019444444444446
40.3850336,-3.7187679,29.716666666666665
40.4942012,-3.6605173,17.955555555555556
40.5180701,-3.7746101,9.844444444444443
40.4607255,-3.6163407,18.083333333333332
40.5005477,-3.6897308,15.20138888888889
40.46312006666667,-3.7024705333333334,22.689351851851853
40.43643886666666,-3.7032533,22.501851851851853
40.47933916666667,-3.6869328666666665,21.795370370370375
40.46880003333333,-3.6514023666666664,20.27175925925926
40.421620000000004,-3.7298006,18.056944444444444
40.3964408,-3.7093247,22.797916666666666
40.3865907,-3.68514825,26.84583333333333
40.4324508,-3.7272374,16.418055555555554
