hex_id,boundary,avg
88390ca207fffff,"((40.42571243475372, -3.641388558788727), (40.4239171914767, -3.6471472774897857), (40.41899834518336, -3.647973569319376), (40.41587502728889, -3.643041768552825), (40.41767027173599, -3.637283788121979), (40.42258883289584, -3.6364568702491105))",
88390ca223fffff,"((40.41095617400671, -3.6438682158016795), (40.40916035352591, -3.6496258378245496), (40.40424120830692, -3.6504518145395046), (40.401118168705594, -3.6455207951314668), (40.402913990290095, -3.6397639110619693), (40.407832850360556, -3.638937308508713))",22.60972222222222
88390ca223fffff,"((40.41095617400671, -3.6438682158016795), (40.40916035352591, -3.6496258378245496), (40.40424120830692, -3.6504518145395046), (40.401118168705594, -3.6455207951314668), (40.402913990290095, -3.6397639110619693), (40.407832850360556, -3.638937308508713))",22.60972222222222
88390ca205fffff,"((40.4270405033754, -3.652079971974954), (40.42524468497155, -3.657839070294835), (40.42032555366394, -3.6586647358543796), (40.417202525762804, -3.653731929425712), (40.41899834518336, -3.647973569319376), (40.4239171914767, -3.6471472774897857))",
88390ca20dfffff,"((40.43508264813812, -3.656187424128424), (40.43328683070742, -3.6619472607919312), (40.428367706656424, -3.6627727706013067), (40.42524468497155, -3.657839070294835), (40.4270405033754, -3.652079971974954), (40.431959342479296, -3.6512538356795385))",
88390ca245fffff,"((40.44445197104517, -3.6709919900746004), (40.442655578974865, -3.6767529443655387), (40.43773617762055, -3.677577671380749), (40.4346134530854, -3.672642071095552), (40.436409845931784, -3.66688185522131), (40.44132896252554, -3.6660565012771826))",24.77638888888889
88390ca24dfffff,"((40.4524940815516, -3.675103175521576), (40.450697690213694, -3.6808648683592127), (40.44577829658455, -3.6816894391778248), (40.442655578974865, -3.6767529443655387), (40.44445197104517, -3.6709919900746004), (40.44937107998105, -3.6701667921108703))",24.77638888888889
88390ca24dfffff,"((40.4524940815516, -3.675103175521576), (40.450697690213694, -3.6808648683592127), (40.44577829658455, -3.6816894391778248), (40.442655578974865, -3.6767529443655387), (40.44445197104517, -3.6709919900746004), (40.44937107998105, -3.6701667921108703))",24.77638888888889
88390ca24dfffff,"((40.4524940815516, -3.675103175521576), (40.450697690213694, -3.6808648683592127), (40.44577829658455, -3.6816894391778248), (40.442655578974865, -3.6767529443655387), (40.44445197104517, -3.6709919900746004), (40.44937107998105, -3.6701667921108703))",24.77638888888889
88390ca269fffff,"((40.43773617762055, -3.677577671380749), (40.435939209223086, -3.6833382661141565), (40.43101951563586, -3.684162522271258), (40.42789707514282, -3.679226810696022), (40.4296940442066, -3.6734669541921323), (40.4346134530854, -3.672642071095552))",
88390ca269fffff,"((40.43773617762055, -3.677577671380749), (40.435939209223086, -3.6833382661141565), (40.43101951563586, -3.684162522271258), (40.42789707514282, -3.679226810696022), (40.4296940442066, -3.6734669541921323), (40.4346134530854, -3.672642071095552))",
88390ca261fffff,"((40.4296940442066, -3.6734669541921323), (40.42789707514282, -3.679226810696022), (40.42297737416453, -3.6800512230354125), (40.41985492701397, -3.675116405655922), (40.42165189678767, -3.6693572872516715), (40.426571312990305, -3.66853224818887))",21.51388888888889
88390ca261fffff,"((40.4296940442066, -3.6734669541921323), (40.42789707514282, -3.679226810696022), (40.42297737416453, -3.6800512230354125), (40.41985492701397, -3.675116405655922), (40.42165189678767, -3.6693572872516715), (40.426571312990305, -3.66853224818887))",21.51388888888889
88390ca267fffff,"((40.42165189678767, -3.6693572872516715), (40.41985492701397, -3.675116405655922), (40.41493521884528, -3.675940974062459), (40.41181276528148, -3.6710070506337056), (40.41360973580869, -3.665248670199172), (40.4185291591345, -3.6644234752852505))",21.51388888888889
88390ca22dfffff,"((40.41360973580869, -3.665248670199172), (40.41181276528148, -3.6710070506337056), (40.406893050123095, -3.6718317749922655), (40.403770590390295, -3.666898745269322), (40.40556756171453, -3.6611411026746437), (40.41048699196286, -3.6603157520246103))",
88390ca225fffff,"((40.40556756171453, -3.6611411026746437), (40.403770590390295, -3.666898745269322), (40.39885086844286, -3.6677236254648706), (40.39572840278521, -3.6627914892029003), (40.39752537494998, -3.657034584318164), (40.40244481192019, -3.656209078046987))",
88390ca04dfffff,"((40.3961990168318, -3.646346927251775), (40.39440261945125, -3.6521034529925487), (40.38948317595977, -3.6529291147699814), (40.386360415000695, -3.6479988765016222), (40.3881568134185, -3.642243088397596), (40.39307597174648, -3.641416800986728))",23.975
88390ca04dfffff,"((40.3961990168318, -3.646346927251775), (40.39440261945125, -3.6521034529925487), (40.38948317595977, -3.6529291147699814), (40.386360415000695, -3.6479988765016222), (40.3881568134185, -3.642243088397596), (40.39307597174648, -3.641416800986728))",23.975
88390ca31bfffff,"((40.39752537494998, -3.657034584318164), (40.39572840278521, -3.6627914892029003), (40.3908086742494, -3.6636165251204735), (40.387686202911034, -3.6586852820746913), (40.38948317595977, -3.6529291147699814), (40.39440261945125, -3.6521034529925487))",23.975
88390ca319fffff,"((40.39885086844286, -3.6677236254648706), (40.39705332135865, -3.6734809091428016), (40.39213330789782, -3.6743053189740698), (40.389011126434546, -3.669373071275215), (40.3908086742494, -3.6636165251204735), (40.39572840278521, -3.6627914892029003))",
88390ca357fffff,"((40.40017549692075, -3.678414050216618), (40.39837737478199, -3.6841717123366613), (40.39345707651545, -3.684995495855309), (40.39033518518171, -3.680062243628021), (40.39213330789782, -3.6743053189740698), (40.39705332135865, -3.6734809091428016))",24.875
88390ca351fffff,"((40.408217673142836, -3.6825238310166966), (40.4064195515379, -3.688282230732557), (40.401499259994075, -3.6891058580975504), (40.39837737478199, -3.6841717123366613), (40.40017549692075, -3.678414050216618), (40.40509550372609, -3.6775897963231396))",24.875
88390ca351fffff,"((40.408217673142836, -3.6825238310166966), (40.4064195515379, -3.688282230732557), (40.401499259994075, -3.6891058580975504), (40.39837737478199, -3.6841717123366613), (40.40017549692075, -3.678414050216618), (40.40509550372609, -3.6775897963231396))",24.875
88390ca355fffff,"((40.401499259994075, -3.6891058580975504), (40.39970056266567, -3.694863898308474), (40.39477997971289, -3.6956870552882113), (40.39165837876307, -3.690752798657403), (40.39345707651545, -3.684995495855309), (40.39837737478199, -3.6841717123366613))",24.875
88390ca343fffff,"((40.40282215727326, -3.6997990486313483), (40.40102288462023, -3.705557466581663), (40.396102017100695, -3.706379996796266), (40.39298070678923, -3.701444735887153), (40.39477997971289, -3.6956870552882113), (40.39970056266567, -3.694863898308474))",24.875
88390ca347fffff,"((40.396102017100695, -3.706379996796266), (40.394302168870894, -3.7121380548405405), (40.38938101018057, -3.712960114750002), (40.386259984222754, -3.70802474345201), (40.38805983261333, -3.7022674225720125), (40.39298070678923, -3.701444735887153))",29.716666666666665
88390ca36bfffff,"((40.38938101018057, -3.712960114750002), (40.3875805865024, -3.718717812781367), (40.38265913682722, -3.719539402476114), (40.37953839528054, -3.7146039209865105), (40.38133881900962, -3.7088469599323552), (40.386259984222754, -3.70802474345201))",29.716666666666665
88390ca36bfffff,"((40.38938101018057, -3.712960114750002), (40.3875805865024, -3.718717812781367), (40.38265913682722, -3.719539402476114), (40.37953839528054, -3.7146039209865105), (40.38133881900962, -3.7088469599323552), (40.386259984222754, -3.70802474345201))",29.716666666666665
88390cb1abfffff,"((40.42827061840595, -3.722840800500554), (40.426470770383375, -3.72860180849623), (40.42154963979261, -3.729423240968863), (40.41842864145785, -3.7244842931468005), (40.42022848946677, -3.7187240228331286), (40.425149335812335, -3.717901962720989))",23.915277777777778
88390cb1c1fffff,"((40.46043897970485, -3.739318432391301), (40.45863913118979, -3.7450823924093775), (40.453718031912416, -3.745903195596646), (40.45059706511362, -3.7409606673323754), (40.452396913439806, -3.7351974455140753), (40.45731772874184, -3.7343760138218007))",
88390cb005fffff,"((40.492607072483345, -3.755812915557524), (40.4908072227731, -3.7615798296692957), (40.48588615802343, -3.7624000017183175), (40.482765226677074, -3.7574538890889895), (40.48456507602248, -3.751687713694852), (40.48948585706721, -3.750866912274006))",
88390cb049fffff,"((40.524774868211196, -3.772324273124324), (40.52297501660005, -3.778094143401286), (40.51805398959293, -3.7789136824548137), (40.514933097618986, -3.77396398153301), (40.51673294868859, -3.7681948504915557), (40.52165369226176, -3.767374681198014))",9.844444444444443
88390cb049fffff,"((40.524774868211196, -3.772324273124324), (40.52297501660005, -3.778094143401286), (40.51805398959293, -3.7789136824548137), (40.514933097618986, -3.77396398153301), (40.51673294868859, -3.7681948504915557), (40.52165369226176, -3.767374681198014))",9.844444444444443
88390cb051fffff,"((40.5208065468805, -3.7401711675622353), (40.519008428155445, -3.7459399072406536), (40.51408825181052, -3.7467613363335404), (40.510966477972936, -3.741814655368934), (40.51276459661788, -3.736046655102618), (40.51768448916865, -3.735224596450502))",
88390cb01bfffff,"((40.510114674678604, -3.714621446742686), (40.508317710306784, -3.720388691388527), (40.503398092271674, -3.7212115367106406), (40.5002757226981, -3.7162677663367614), (40.502072687341425, -3.7105012610898327), (40.50699202127501, -3.7096777868795807))",
88390cb0c3fffff,"((40.506133268746716, -3.6824940266593313), (40.50433803476807, -3.688260135223422), (40.499419269396654, -3.689084866528504), (40.496296022452555, -3.684144117537824), (40.498091257163765, -3.6783787485459953), (40.503009738074724, -3.6775533890343293))",15.20138888888889
88390cb09dfffff,"((40.4954326281317, -3.656970673568553), (40.49363854603015, -3.6627352832932254), (40.488720340838995, -3.6635614269223415), (40.48559650250446, -3.6586235884238483), (40.48739058568976, -3.6528597182556335), (40.49230850611415, -3.6520329470912123))",17.955555555555556
88390cb09dfffff,"((40.4954326281317, -3.656970673568553), (40.49363854603015, -3.6627352832932254), (40.488720340838995, -3.6635614269223415), (40.48559650250446, -3.6586235884238483), (40.48739058568976, -3.6528597182556335), (40.49230850611415, -3.6520329470912123))",17.955555555555556
88390cb083fffff,"((40.488720340838995, -3.6635614269223415), (40.486925681570355, -3.6693256769574676), (40.482007183004875, -3.6701513490633446), (40.478883628411076, -3.6652133987418694), (40.48067828865375, -3.659449888075758), (40.48559650250446, -3.6586235884238483))",17.955555555555556
88390cb087fffff,"((40.482007183004875, -3.6701513490633446), (40.48021194669667, -3.675915239301304), (40.47529315494209, -3.6767404399744756), (40.472169884146716, -3.671802378028088), (40.47396512131924, -3.666039226971742), (40.478883628411076, -3.6652133987418694))",
88390cb0abfffff,"((40.47529315494209, -3.6767404399744756), (40.473497341721945, -3.682503970307738), (40.46857825696357, -3.6833286996387544), (40.4654552700243, -3.6783905262654883), (40.46725108399904, -3.6726277349264067), (40.472169884146716, -3.671802378028088))",24.806944444444447
88390cb0a1fffff,"((40.46857825696357, -3.6833286996387544), (40.46678186695919, -3.689091869959835), (40.4618624893824, -3.6899161280392665), (40.45873978635686, -3.6849778434370957), (40.4605361770061, -3.679215411922737), (40.4654552700243, -3.6783905262654883))",24.806944444444447
88390cb0a1fffff,"((40.46857825696357, -3.6833286996387544), (40.46678186695919, -3.689091869959835), (40.4618624893824, -3.6899161280392665), (40.45873978635686, -3.6849778434370957), (40.4605361770061, -3.679215411922737), (40.4654552700243, -3.6783905262654883))",24.806944444444447
88390cb085fffff,"((40.48333520978615, -3.6808541966834936), (40.48153939727676, -3.686618466141033), (40.476620320978874, -3.6874430390304123), (40.473497341721945, -3.682503970307738), (40.47529315494209, -3.6767404399744756), (40.48021194669667, -3.675915239301304))",
88390cb08dfffff,"((40.491377248086074, -3.6849690054144566), (40.48958143624354, -3.6907340141264093), (40.48466236860682, -3.691558430458652), (40.48153939727676, -3.686618466141033), (40.48333520978615, -3.6808541966834936), (40.488253992946994, -3.6800291523508597))",
88390cb0c7fffff,"((40.499419269396654, -3.689084866528504), (40.49762345817701, -3.694850614624999), (40.49270439940214, -3.695674874284562), (40.48958143624354, -3.6907340141264093), (40.491377248086074, -3.6849690054144566), (40.496296022452555, -3.684144117537824))",15.20138888888889
88390cb0cbfffff,"((40.514175262738355, -3.6866103575023943), (40.51238002944829, -3.6923772057689903), (40.50746127327255, -3.6932017803869215), (40.50433803476807, -3.688260135223422), (40.506133268746716, -3.6824940266593313), (40.51105174052947, -3.6816688236180113))",15.20138888888889
88390cb0cbfffff,"((40.514175262738355, -3.6866103575023943), (40.51238002944829, -3.6923772057689903), (40.50746127327255, -3.6932017803869215), (40.50433803476807, -3.688260135223422), (40.506133268746716, -3.6824940266593313), (40.51105174052947, -3.6816688236180113))",15.20138888888889
88390cb0c1fffff,"((40.50746127327255, -3.6932017803869215), (40.50566546263182, -3.6989682679981133), (40.5007464129195, -3.6997923708693676), (40.49762345817701, -3.694850614624999), (40.499419269396654, -3.689084866528504), (40.50433803476807, -3.688260135223422))",15.20138888888889
88390cb0c5fffff,"((40.5007464129195, -3.6997923708693676), (40.49895002505578, -3.705558497717643), (40.49403068199212, -3.7063821289330128), (40.49090801106917, -3.701440261806), (40.49270439940214, -3.695674874284562), (40.49762345817701, -3.694850614624999))",15.20138888888889
88390cb0e9fffff,"((40.49403068199212, -3.7063821289330128), (40.4922337170332, -3.7121478949109834), (40.48731408080354, -3.7129710545612578), (40.48419169375765, -3.70802907674973), (40.48598865907616, -3.7022640499107657), (40.49090801106917, -3.701440261806))",
88390cb0e5fffff,"((40.47927204873186, -3.708852393390456), (40.47747450655569, -3.7146170594396217), (40.47255456868253, -3.715439904707059), (40.469432457225736, -3.7104987122350463), (40.47122999969575, -3.704734785007223), (40.47614965331695, -3.7039113114916993))",22.623611111111114
88390cb0e5fffff,"((40.47927204873186, -3.708852393390456), (40.47747450655569, -3.7146170594396217), (40.47255456868253, -3.715439904707059), (40.469432457225736, -3.7104987122350463), (40.47122999969575, -3.704734785007223), (40.47614965331695, -3.7039113114916993))",22.623611111111114
88390cb0e5fffff,"((40.47927204873186, -3.708852393390456), (40.47747450655569, -3.7146170594396217), (40.47255456868253, -3.715439904707059), (40.469432457225736, -3.7104987122350463), (40.47122999969575, -3.704734785007223), (40.47614965331695, -3.7039113114916993))",22.623611111111114
88390cb1dbfffff,"((40.47122999969575, -3.704734785007223), (40.469432457225736, -3.7104987122350463), (40.46451251089046, -3.7113217144782666), (40.46139039133288, -3.7063814175867837), (40.463187934140635, -3.7006182290504697), (40.46810759615647, -3.6997945987757266))",22.623611111111114
88390cb1d3fffff,"((40.463187934140635, -3.7006182290504697), (40.46139039133288, -3.7063814175867837), (40.45647043673624, -3.7072045766901804), (40.453348309322486, -3.702265175133877), (40.45514585251183, -3.6965027251592315), (40.46006552272159, -3.6956789382407997))",
88390cb19bfffff,"((40.45382040065354, -3.685802257943786), (40.45202343345759, -3.691564329526028), (40.44710375525463, -3.6923882729727135), (40.44398132880969, -3.687450772270685), (40.44577829658455, -3.6816894391778248), (40.450697690213694, -3.6808648683592127))",23.864583333333336
88390cb19bfffff,"((40.45382040065354, -3.685802257943786), (40.45202343345759, -3.691564329526028), (40.44710375525463, -3.6923882729727135), (40.44398132880969, -3.687450772270685), (40.44577829658455, -3.6816894391778248), (40.450697690213694, -3.6808648683592127))",23.864583333333336
88390cb199fffff,"((40.45514585251183, -3.6965027251592315), (40.453348309322486, -3.702265175133877), (40.44842834666526, -3.70308849098191), (40.445306211639895, -3.6981499845155326), (40.44710375525463, -3.6923882729727135), (40.45202343345759, -3.691564329526028))",21.79513888888889
88390cb199fffff,"((40.45514585251183, -3.6965027251592315), (40.453348309322486, -3.702265175133877), (40.44842834666526, -3.70308849098191), (40.445306211639895, -3.6981499845155326), (40.44710375525463, -3.6923882729727135), (40.45202343345759, -3.691564329526028))",21.79513888888889
88390cb199fffff,"((40.45514585251183, -3.6965027251592315), (40.453348309322486, -3.702265175133877), (40.44842834666526, -3.70308849098191), (40.445306211639895, -3.6981499845155326), (40.44710375525463, -3.6923882729727135), (40.45202343345759, -3.691564329526028))",21.79513888888889
88390cb199fffff,"((40.45514585251183, -3.6965027251592315), (40.453348309322486, -3.702265175133877), (40.44842834666526, -3.70308849098191), (40.445306211639895, -3.6981499845155326), (40.44710375525463, -3.6923882729727135), (40.45202343345759, -3.691564329526028))",21.79513888888889
88390cb199fffff,"((40.45514585251183, -3.6965027251592315), (40.453348309322486, -3.702265175133877), (40.44842834666526, -3.70308849098191), (40.445306211639895, -3.6981499845155326), (40.44710375525463, -3.6923882729727135), (40.45202343345759, -3.691564329526028))",21.79513888888889
88390cb19dfffff,"((40.44842834666526, -3.70308849098191), (40.44663022707536, -3.7088505806224665), (40.44170997215625, -3.709673425490693), (40.43858812121731, -3.7047348083888987), (40.44038624112284, -3.6989734569927193), (40.445306211639895, -3.6981499845155326))",21.79513888888889
88390cb195fffff,"((40.44038624112284, -3.6989734569927193), (40.43858812121731, -3.7047348083888987), (40.43366785857172, -3.705557809987163), (40.43054600028932, -3.700620087643525), (40.43234412055421, -3.6948594743620036), (40.43726409873038, -3.6940358453710314))",21.79513888888889
88390cb1b9fffff,"((40.43366785857172, -3.705557809987163), (40.4318691625035, -3.7113188011295537), (40.426948607915065, -3.712141331939461), (40.42382703380023, -3.7072034990715066), (40.425625730118036, -3.701443245856424), (40.43054600028932, -3.700620087643525))",30.59236111111111
88390cb1b1fffff,"((40.425625730118036, -3.701443245856424), (40.42382703380023, -3.7072034990715066), (40.418906471819525, -3.7080261865968436), (40.415784890629375, -3.703089248155463), (40.41758358724042, -3.6973297327380514), (40.42250386473665, -3.6965064180258644))",30.59236111111111
88390cb1b1fffff,"((40.425625730118036, -3.701443245856424), (40.42382703380023, -3.7072034990715066), (40.418906471819525, -3.7080261865968436), (40.415784890629375, -3.703089248155463), (40.41758358724042, -3.6973297327380514), (40.42250386473665, -3.6965064180258644))",30.59236111111111
88390cb1b9fffff,"((40.43366785857172, -3.705557809987163), (40.4318691625035, -3.7113188011295537), (40.426948607915065, -3.712141331939461), (40.42382703380023, -3.7072034990715066), (40.425625730118036, -3.701443245856424), (40.43054600028932, -3.700620087643525))",30.59236111111111
88390cb1b9fffff,"((40.43366785857172, -3.705557809987163), (40.4318691625035, -3.7113188011295537), (40.426948607915065, -3.712141331939461), (40.42382703380023, -3.7072034990715066), (40.425625730118036, -3.701443245856424), (40.43054600028932, -3.700620087643525))",30.59236111111111
88390cb1b9fffff,"((40.43366785857172, -3.705557809987163), (40.4318691625035, -3.7113188011295537), (40.426948607915065, -3.712141331939461), (40.42382703380023, -3.7072034990715066), (40.425625730118036, -3.701443245856424), (40.43054600028932, -3.700620087643525))",30.59236111111111
88390cb1b9fffff,"((40.43366785857172, -3.705557809987163), (40.4318691625035, -3.7113188011295537), (40.426948607915065, -3.712141331939461), (40.42382703380023, -3.7072034990715066), (40.425625730118036, -3.701443245856424), (40.43054600028932, -3.700620087643525))",30.59236111111111
88390cb1b9fffff,"((40.43366785857172, -3.705557809987163), (40.4318691625035, -3.7113188011295537), (40.426948607915065, -3.712141331939461), (40.42382703380023, -3.7072034990715066), (40.425625730118036, -3.701443245856424), (40.43054600028932, -3.700620087643525))",30.59236111111111
88390cb193fffff,"((40.44577829658455, -3.6816894391778248), (40.44398132880969, -3.687450772270685), (40.439061642814266, -3.6882748721302274), (40.435939209223086, -3.6833382661141565), (40.43773617762055, -3.677577671380749), (40.442655578974865, -3.6767529443655387))",23.864583333333336
88390ca25dfffff,"((40.45655203807306, -3.6471215777139947), (40.45475737464545, -3.6528828710548575), (40.44983884317817, -3.65370916696509), (40.446715260110786, -3.6487747962767476), (40.44850992468751, -3.6430142417837117), (40.453428171170806, -3.6421873191929097))",
88390cb529fffff,"((40.46731195309137, -3.6125539694403987), (40.46551959412071, -3.6183152188355185), (40.4606022188162, -3.6191437101633515), (40.45747748779676, -3.614211578361966), (40.45926984844296, -3.608451068301409), (40.46418693842144, -3.60762195076947))",18.083333333333332
88390cb511fffff,"((40.48476344182603, -3.5713939233914145), (40.48297396472243, -3.5771554819767566), (40.47805804100142, -3.5779866395186946), (40.47493188009142, -3.573056864251937), (40.47672135950671, -3.5672960456728755), (40.48163699750874, -3.566464262416194))",28.345833333333335
